record_number,code,band_size,scribe,bander,band_prefix,band_number,species_code,species_name,calendar_age,wrp_age,how_age,how_age2,sex,how_sex,how_sex2,eye_color,skull,bp,cp,fat,body_molt,ff_molt,ff_wear,juv_plg,pp_covs,gr_covs,primaries,secondaries,tertials,rectrices,body_plg,wing_chord,mass,day,month,year,capture_time,release_time,station,net_number,status,disposition,notes,comments,notes,,,,,
NULL,N,1A,WA,MC,2641,9301,GRCA,Gray Catbird,ASY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,34.9,24,1,2021,815,NULL,CT,13,300,NULL,NULL,MoSi,,,,,,
NULL,N,1A,SN,MC,2641,9302,GRCA,Gray Catbird,ASY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,37.1,23,2,2021,830,NULL,CT,3,300,NULL,,MoSi,,,,,,
NULL,R,1A,WD,GH,2641,9302,GRCA,Gray Catbird,AHY,DCB,P,NULL,U,NULL,NULL,DB,NULL,0,0,1,0,N,1,NULL,B,B,B,B,B,B,B,87,37.8,10,11,2021,7:40,8;30,CT,21,300,NULL,"FEATHER MITES ON PRIMARIES, P10-PPCOV 2.6MM",,,,,,,
NULL,N,1A,SN,MC,2641,9303,GRCA,Gray Catbird,HY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,3,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91,35.2,24,2,2021,700,NULL,CT,16,300,NULL,NULL,MoSi,,,,,,
NULL,N,1A,SN,MC,2641,9304,GRCA,Gray Catbird,ASY,DCB,P,NULL,U,NULL,NULL,NULL,NULL,0,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,35.1,26,2,2021,830,NULL,CT,6,300,NULL,,MoSi,,,,,,
NULL,N,1A,NULL,DF,2641,9305,GRCA,Gray Catbird,SY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,35.2,20,3,2021,640,NULL,CT,2,300,NULL,,Mosi,,,,,,
NULL,N,1A,NULL,DF,2641,9306,RBGR,Rose-breasted Grosbeak,ASY,NULL,P,NULL,F,P,NULL,NULL,NULL,0,0,1,3,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,43.4,20,3,2021,1045,NULL,CT,6,300,NULL,,Mosi,,,,,,
NULL,N,1A,NULL,DF,2641,9307,RBGR,Rose-breasted Grosbeak,SY,NULL,P,NULL,M,P,NULL,NULL,NULL,0,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,41,20,3,2021,1045,NULL,CT,6,300,NULL,SY -Stress bars in secondaries on one wing,Mosi,,,,,,
NULL,N,1A,NULL,DF,2641,9308,GRCA,Gray Catbird,SY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,32.9,21,3,2021,805,NULL,CT,2,300,NULL,,Mosi,,,,,,
NULL,N,1A,NULL,EM,2641,9309,WOTH,Wood Thrush,SY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99,43.4,22,3,2021,745,NULL,CT,17,300,NULL,SY,Mosi,,,,,,
NULL,R,1A,RGM,MAC,2641,9309,WOTH,Wood Thrush,ASY,DCB,1,,U,5,6,,,0,0,1,N,N,,,B,B,B,B,B,B,B,102,43.8,19,3,2022,1730,1801,,,,R,,,,,,,,
NULL,R,1A,MAC,EA,2641,9309,WOTH,Wood Thrush,SY,FCF,1,,U,5,6,,,0,0,1,N,5,,,J,J,J,J,J,J,F,103,40.4,9,3,2022,830,858,,17,,R,,,,,,,,
NULL,R,1A,AP,MB,2641,9309,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,NULL,NULL,0,0,5,0,N,1,NULL,J,L,J,J,J,J,F,102,43.8,19,10,2021,720,718,CT,1,300,NULL,,,,,,,,
NULL,N,1A,DR,TK,2641,9310,WOTH,Wood Thrush,SY,NULL,L,NULL,U,NULL,NULL,NULL,NULL,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,107,53.8,4,4,2021,705,NULL,CT,17,300,NULL,NULL,NABC,,,,,,
NULL,N,1A,DR,TK,2641,9311,WOTH,Wood Thrush,SY,NULL,L,NULL,U,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99,42.7,4,4,2021,735,NULL,CT,3,300,NULL,NULL,NABC,,,,,,
NULL,R,1A,MAC,EA,2641,9311,WOTH,Wood Thrush,SY,FCF,1,NULL,U,5,6,,NULL,0,0,3,N,5,NULL,,J,J,J,J,J,J,F,100,39.2,5,3,2022,7:30,7:55,CT,3,NULL,R,,,,,,,,
NULL,R,1A,TK,DR,2641,9311,WOTH,Wood Thrush,SY,NULL,L,NULL,U,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99,42.9,5,4,2021,715,745,CT,13,300,NULL,NULL,NABC,,,,,,
NULL,R,1A,KW,JH,2641,9311,WOTH,Wood Thrush,AHY,DCB,L,NULL,U,NULL,NULL,DB,NULL,0,0,1,0,N,1,NULL,B,B,B,B,B,B,B,101,41.2,30,10,2021,650,742,CT,4,300,NULL,,,,,,,,
NULL,N,1A,DR,WS,2641,9312,GRCA,Gray Catbird,SY,NULL,L,NULL,U,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,34.8,4,4,2021,1235,NULL,CT,17,300,NULL,NULL,NABC,,,,,,
NULL,N,1A,OW,EX,2641,9313,WOTH,Wood Thrush,AHY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,105,44.7,5,4,2021,645,NULL,CT,4,300,NULL,NULL,NABC,,,,,,
NULL,N,1A,DR,LP,2641,9314,WOTH,Wood Thrush,SY,NULL,L,NULL,U,NULL,NULL,NULL,NULL,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,102,43.9,6,4,2021,730,NULL,CT,1,300,NULL,NULL,NABC,,,,,,
NULL,N,1A,MX,WS,2641,9315,WOTH,Wood Thrush,SY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,106,59.4,6,4,2021,1020,NULL,CT,5,300,NULL,NULL,NABC,,,,,,
NULL,N,1A,NULL,NULL,2641,9316,BADE,BAND DESTROYED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,4,2021,NULL,NULL,CT,NULL,300,NULL,BAND DESTROYED FOR NABC BAND REMOVAL PRACTICE,NABC,,,,,,
NULL,N,1A,NULL,NULL,2641,9317,BADE,BAND DESTROYED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,4,2021,NULL,NULL,CT,NULL,300,NULL,BAND DESTROYED FOR NABC BAND REMOVAL PRACTICE,NABC,,,,,,
NULL,N,1A,DR,LP,2641,9318,GRCA,Gray Catbird,SY,NULL,L,NULL,U,NULL,NULL,NULL,NULL,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,36.7,6,4,2021,1545,NULL,CT,17,300,NULL,NULL,NABC,,,,,,
